"","Date","rlc_end_time","specimenID","uid","plant_part","plantID","salinity","treatment","day_group","rlc_day","pmax","rETRmax","rETRmaxYpoint1","maxNPQ_Ypoint1","deltaNPQ","alpha.est","alpha.st_err","alpha.t","alpha.p","ek.est","ek.st_err","ek.t","ek.p","run"
"119","2024-08-11","09:35:29","ct144","2024-08-11_ct144","canopy",44,"28","2","c_d9_r2","9",125.32,121.36,121.36,0.852,0.637,0.641,0.018,35.98,0,195.352,13.838,14.117,0,"2"
"120","2024-08-11","09:39:54","ct143","2024-08-11_ct143","canopy",43,"35","2","c_d9_r2","9",77.11,75,75,1.064,0.827,0.727,0.022,32.336,0,106.128,6.61,16.057,0,"2"
"121","2024-08-11","09:45:55","ct105","2024-08-11_ct105","canopy",5,"35","3","c_d9_r2","9",83.87,88.56,88.56,0.617,0.416,0.638,0.021,29.678,0,131.505,9.708,13.546,0,"2"
"122","2024-08-11","09:50:42","ct106","2024-08-11_ct106","canopy",6,"28","3","c_d9_r2","9",81.28,81.18,79.38,0.911,0.56,0.541,0.01,51.666,0,150.118,6.698,22.413,0,"2"
"123","2024-08-11","09:55:12","ct107","2024-08-11_ct107","canopy",7,"35","4","c_d9_r2","9",59.53,66.42,66.25,0.661,0.33,0.441,0.019,23.323,0,134.99,12.809,10.538,0,"2"
"124","2024-08-11","10:01:04","ct108","2024-08-11_ct108","canopy",8,"28","4","c_d9_r2","9",108.94,101.25,101.25,0.744,0.469,0.556,0.014,38.63,0,195.883,12.937,15.141,0,"2"
"125","2024-08-11","10:06:25","ct101","2024-08-11_ct101","canopy",1,"35","1","c_d9_r2","9",137.54,126.25,126.25,1.353,1.201,0.81,0.028,28.512,0,169.74,14.38,11.804,0,"2"
"126","2024-08-11","10:10:54","ct102","2024-08-11_ct102","canopy",2,"28","1","c_d9_r2","9",92.5,87.5,87.5,0.982,0.779,0.685,0.032,21.282,0,135.051,14.047,9.614,0,"2"
"127","2024-08-11","10:15:22","ct103","2024-08-11_ct103","canopy",3,"35","2","c_d9_r2","9",96.41,94.38,94.38,1.034,0.854,0.669,0.029,23.143,0,144.104,14.131,10.198,0,"2"
"128","2024-08-11","10:20:07","ct104","2024-08-11_ct104","canopy",4,"28","2","c_d9_r2","9",147.84,138.75,138.75,0.487,0.424,0.588,0.005,126.417,0,251.391,5.6,44.895,0,"2"
"129","2024-08-11","10:24:59","ct113","2024-08-11_ct113","canopy",13,"35","3","c_d9_r2","9",99.75,96.76,96.76,0.825,0.625,0.668,0.027,24.314,0,149.247,14.119,10.571,0,"2"
