"2023-12-12";"12:03:31";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-12-12 07:56:53.982";"2023-12-12";"07:56:53";"SLCS";"";"Light Curve start ";"Ac103"
"2023-12-12 07:56:53.982";"2023-12-12";"07:56:53";"REG1";"";"#1: alpha: 0.168, ETRm: 10.537, Ik: 62.862   ( beta: 0.024, ETRmPot: 16.225 )   (Platt et al. 1980) ";""
"2023-12-12 07:56:53.982";"2023-12-12";"07:56:53";"REG2";"";"#1: alpha: 0.245, ETRm: 8.330, Ik: 34.060   (Jassby and Platt 1976) ";""
"2023-12-12 07:56:55.725";"2023-12-12";"07:56:55";"FO";"1";"231";"503";"0";"0.541";"0.0";"-";"-";"-";"-";"231";"503";"0.541"
"2023-12-12 07:57:26.019";"2023-12-12";"07:57:26";"F";"2";"303";"420";"66";"0.279";"7.7";"212";"0.563";"0.235";"0.198";"231";"503";"0.541"
"2023-12-12 07:57:56.317";"2023-12-12";"07:57:56";"F";"3";"304";"399";"90";"0.238";"9.0";"206";"0.492";"0.290";"0.261";"231";"503";"0.541"
"2023-12-12 07:58:26.609";"2023-12-12";"07:58:26";"F";"4";"313";"376";"125";"0.168";"8.8";"200";"0.358";"0.353";"0.338";"231";"503";"0.541"
"2023-12-12 07:58:56.910";"2023-12-12";"07:58:56";"F";"5";"315";"363";"190";"0.132";"10.5";"196";"0.287";"0.386";"0.386";"231";"503";"0.541"
"2023-12-12 07:59:27.197";"2023-12-12";"07:59:27";"F";"6";"321";"351";"285";"0.085";"10.2";"193";"0.190";"0.419";"0.433";"231";"503";"0.541"
"2023-12-12 07:59:57.501";"2023-12-12";"07:59:57";"F";"7";"324";"342";"420";"0.053";"9.3";"190";"0.118";"0.441";"0.471";"231";"503";"0.541"
"2023-12-12 08:00:27.789";"2023-12-12";"08:00:27";"F";"8";"325";"332";"625";"0.021";"5.5";"187";"0.048";"0.467";"0.515";"231";"503";"0.541"
"2023-12-12 08:00:58.091";"2023-12-12";"08:00:58";"F";"9";"322";"327";"820";"0.015";"5.2";"185";"0.035";"0.478";"0.538";"231";"503";"0.541"
"2023-12-12 08:01:01.355";"2023-12-12";"08:01:01";"SLCE";"";"Light Curve end ";""
"2023-12-12 08:01:44.682";"2023-12-12";"08:01:44";"SLCS";"";"Light Curve start ";"Ac101"
"2023-12-12 08:01:44.682";"2023-12-12";"08:01:44";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 12.700 )   (Platt et al. 1980) ";""
"2023-12-12 08:01:44.682";"2023-12-12";"08:01:44";"REG2";"";"#1: alpha: 0.140, ETRm: 13.074, Ik: 93.662   (Jassby and Platt 1976) ";""
"2023-12-12 08:01:46.379";"2023-12-12";"08:01:46";"FO";"10";"95";"217";"0";"0.562";"0.0";"-";"-";"-";"-";"95";"217";"0.562"
"2023-12-12 08:02:16.679";"2023-12-12";"08:02:16";"F";"11";"123";"173";"66";"0.289";"8.0";"85";"0.568";"0.279";"0.254";"95";"217";"0.562"
"2023-12-12 08:02:46.972";"2023-12-12";"08:02:46";"F";"12";"118";"163";"90";"0.276";"10.4";"83";"0.563";"0.344";"0.331";"95";"217";"0.562"
"2023-12-12 08:03:17.272";"2023-12-12";"08:03:17";"F";"13";"122";"153";"125";"0.203";"10.7";"80";"0.425";"0.402";"0.418";"95";"217";"0.562"
