"2023-11-20";"12:18:27";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-11-20 08:05:50.390";"2023-11-20";"08:05:50";"SLCS";"";"Light Curve start ";"Ac19"
"2023-11-20 08:05:50.390";"2023-11-20";"08:05:50";"REG1";"";"#1: alpha: 0.232, ETRm: 15.220, Ik: 65.642   ( beta: 0.002, ETRmPot: 16.076 )   (Platt et al. 1980) ";""
"2023-11-20 08:05:50.390";"2023-11-20";"08:05:50";"REG2";"";"#1: alpha: 0.172, ETRm: 14.881, Ik: 86.382   (Jassby and Platt 1976) ";""
"2023-11-20 08:05:52.092";"2023-11-20";"08:05:52";"FO";"1";"123";"320";"0";"0.616";"0.0";"-";"-";"-";"-";"123";"320";"0.616"
"2023-11-20 08:06:22.389";"2023-11-20";"08:06:22";"F";"2";"156";"238";"66";"0.345";"9.6";"109";"0.636";"0.345";"0.345";"123";"320";"0.616"
"2023-11-20 08:06:52.684";"2023-11-20";"08:06:52";"F";"3";"153";"223";"90";"0.314";"11.9";"105";"0.593";"0.401";"0.435";"123";"320";"0.616"
"2023-11-20 08:07:22.981";"2023-11-20";"08:07:22";"F";"4";"158";"208";"125";"0.240";"12.6";"102";"0.472";"0.462";"0.538";"123";"320";"0.616"
"2023-11-20 08:07:53.279";"2023-11-20";"08:07:53";"F";"5";"161";"198";"190";"0.187";"14.9";"99";"0.374";"0.497";"0.616";"123";"320";"0.616"
"2023-11-20 08:08:23.575";"2023-11-20";"08:08:23";"F";"6";"164";"190";"285";"0.137";"16.4";"97";"0.280";"0.528";"0.684";"123";"320";"0.616"
"2023-11-20 08:08:53.872";"2023-11-20";"08:08:53";"F";"7";"168";"183";"420";"0.082";"14.5";"96";"0.172";"0.558";"0.749";"123";"320";"0.616"
"2023-11-20 08:09:24.170";"2023-11-20";"08:09:24";"F";"8";"170";"179";"625";"0.050";"13.1";"94";"0.106";"0.569";"0.788";"123";"320";"0.616"
"2023-11-20 08:09:54.464";"2023-11-20";"08:09:54";"F";"9";"168";"176";"820";"0.045";"15.5";"94";"0.098";"0.584";"0.818";"123";"320";"0.616"
"2023-11-20 08:09:57.326";"2023-11-20";"08:09:57";"SLCE";"";"Light Curve end ";""
"2023-11-20 08:10:42.321";"2023-11-20";"08:10:42";"SLCS";"";"Light Curve start ";"Ac17"
"2023-11-20 08:10:42.321";"2023-11-20";"08:10:42";"REG1";"";"#1: alpha: 0.262, ETRm: 20.476, Ik: 78.097   ( beta: 0.001, ETRmPot: 21.162 )   (Platt et al. 1980) ";""
"2023-11-20 08:10:42.321";"2023-11-20";"08:10:42";"REG2";"";"#1: alpha: 0.193, ETRm: 20.262, Ik: 105.141   (Jassby and Platt 1976) ";""
"2023-11-20 08:10:44.057";"2023-11-20";"08:10:44";"FO";"10";"153";"421";"0";"0.637";"0.0";"-";"-";"-";"-";"153";"421";"0.637"
"2023-11-20 08:11:14.350";"2023-11-20";"08:11:14";"F";"11";"210";"355";"66";"0.408";"11.3";"143";"0.684";"0.209";"0.186";"153";"421";"0.637"
"2023-11-20 08:11:44.644";"2023-11-20";"08:11:44";"F";"12";"212";"337";"90";"0.371";"14.0";"140";"0.635";"0.265";"0.249";"153";"421";"0.637"
"2023-11-20 08:12:14.942";"2023-11-20";"08:12:14";"F";"13";"218";"319";"125";"0.317";"16.6";"137";"0.555";"0.321";"0.320";"153";"421";"0.637"
"2023-11-20 08:12:45.238";"2023-11-20";"08:12:45";"F";"14";"230";"305";"190";"0.246";"19.6";"134";"0.439";"0.362";"0.380";"153";"421";"0.637"
"2023-11-20 08:13:15.538";"2023-11-20";"08:13:15";"F";"15";"240";"290";"285";"0.172";"20.6";"131";"0.314";"0.407";"0.452";"153";"421";"0.637"
"2023-11-20 08:13:45.831";"2023-11-20";"08:13:45";"F";"16";"246";"279";"420";"0.118";"20.8";"129";"0.220";"0.440";"0.509";"153";"421";"0.637"
"2023-11-20 08:14:16.125";"2023-11-20";"08:14:16";"F";"17";"252";"270";"625";"0.067";"17.6";"127";"0.126";"0.466";"0.559";"153";"421";"0.637"
"2023-11-20 08:14:46.424";"2023-11-20";"08:14:46";"F";"18";"251";"268";"820";"0.063";"21.7";"127";"0.121";"0.474";"0.571";"153";"421";"0.637"
"2023-11-20 08:14:49.147";"2023-11-20";"08:14:49";"SLCE";"";"Light Curve end ";""
"2023-11-20 08:15:20.196";"2023-11-20";"08:15:20";"SLCS";"";"Light Curve start ";"Ac23"
