date,specimen_id,id,i_weight,f_weight,growth_d9,treatment,plant_id,run
03/28/23,hm101,h501,0.2699,0.4317,59.948,1,22,2
03/28/23,hm102,h502,0.3012,0.4878,61.952,2,22,2
03/28/23,hm103,h503,0.3007,0.462,53.642,3,22,2
03/28/23,hm104,h504,0.2953,0.396,34.101,4,22,2
03/28/23,ul101,u501,0.2774,0.2776,0.072,1,49,2
03/28/23,ul102,u502,0.2975,0.5788,94.555,2,49,2
03/28/23,ul103,u503,0.2889,0.5871,103.219,3,49,2
03/28/23,ul104,u504,0.288,0.5419,88.160,4,49,2
03/28/23,hm105,h505,0.2712,0.4035,48.783,1,23,2
03/28/23,hm106,h506,0.2619,0.4386,67.468,2,23,2
03/28/23,hm107,h507,0.297,0.4093,37.811,3,23,2
03/28/23,hm108,h508,0.2736,0.3958,44.664,4,23,2
03/28/23,ul105,u505,0.2937,0.3719,26.626,1,50,2
03/28/23,ul106,u506,0.2899,0.6378,120.007,2,50,2
03/28/23,ul107,u507,0.2917,0.5499,88.516,3,50,2
03/28/23,ul108,u508,0.2705,0.477,76.340,4,50,2
03/28/23,hm109,h509,0.2841,0.3883,36.677,1,24,2
03/28/23,hm110,h510,0.2991,0.3628,21.297,2,24,2
03/28/23,hm111,h511,0.2991,0.4217,40.990,3,24,2
03/28/23,hm112,h512,0.2472,0.3306,33.738,4,24,2
03/28/23,ul109,u509,0.302,0.3027,0.232,1,51,2
03/28/23,ul110,u510,0.2552,0.4619,80.995,2,51,2
03/28/23,ul111,u511,0.287,0.6748,135.122,3,51,2
03/28/23,ul112,u512,0.2961,0.4291,44.917,4,51,2
03/28/23,hm113,h513,0.2835,0.3745,32.099,1,25,2
03/28/23,hm114,h514,0.2992,0.4356,45.588,2,25,2
03/28/23,hm115,h515,0.2614,0.3386,29.533,3,25,2
03/28/23,hm116,h516,0.273,0.3824,40.073,4,25,2
03/28/23,ul113,u513,0.2959,0.4237,43.190,1,52,2
03/28/23,ul114,u514,0.2911,0.6951,138.784,2,52,2
03/28/23,ul115,u515,0.2791,0.6493,132.641,3,52,2
03/28/23,ul116,u516,0.2925,0.5325,82.051,4,52,2
03/28/23,hm117,h517,0.2967,0.4134,39.333,1,26,2
03/28/23,hm118,h518,0.3043,0.4501,47.913,2,26,2
03/28/23,hm119,h519,0.2924,0.4655,59.200,3,26,2
03/28/23,hm120,h520,0.2985,0.4203,40.804,4,26,2
03/28/23,ul117,u517,0.2822,0.3376,19.631,1,53,2
03/28/23,ul118,u518,0.2768,0.4688,69.364,2,53,2
03/28/23,ul119,u519,0.2805,0.5493,95.829,3,53,2
03/28/23,ul120,u520,0.2614,0.4347,66.297,4,53,2
03/28/23,hm121,h521,0.2903,0.3742,28.901,1,27,2
03/28/23,hm122,h522,0.2961,0.3794,28.132,2,27,2
03/28/23,hm123,h523,0.2914,0.3706,27.179,3,27,2
03/28/23,hm124,h524,0.2968,0.3755,26.516,4,27,2
03/28/23,ul121,u521,0.2836,0.3133,10.472,1,54,2
03/28/23,ul122,u522,2871,0.6151,-99.979,2,54,2
03/28/23,ul123,u523,0.2763,0.5081,83.894,3,54,2
03/28/23,ul124,u524,0.2341,0.4813,105.596,4,54,2
03/31/23,hm125,h525,0.3009,0.4287,42.473,1,28,2
03/31/23,hm126,h526,0.3006,0.4403,46.474,2,28,2
03/31/23,hm127,h527,0.2822,0.3996,41.602,3,28,2
03/31/23,hm128,h528,0.2894,0.4055,40.117,4,28,2
03/31/23,ul125,u525,0.2712,0.2806,3.466,1,55,2
03/31/23,ul126,u526,0.2948,0.4439,50.577,2,55,2
03/31/23,ul127,u527,0.277,0.4374,57.906,3,55,2
03/31/23,ul128,u528,0.2993,0.5681,89.810,4,55,2
03/31/23,hm129,h529,0.3004,0.3897,29.727,1,29,2
03/31/23,hm130,h530,0.2916,0.4591,57.442,2,29,2
03/31/23,hm131,h531,0.3008,0.474,57.580,3,29,2
03/31/23,hm132,h532,0.2971,0.4382,47.492,4,29,2
03/31/23,ul129,u529,0.2732,0.3282,20.132,1,56,2
03/31/23,ul130,u530,0.2908,0.5724,96.836,2,56,2
03/31/23,ul131,u531,0.2961,0.5998,102.567,3,56,2
