Datetime,Date,Time,Type,no,F,FmPrime,PAR,YII,ETR,FvFm
12:27.0,6/17/25,12:12:26,FO,90,199,381,0,0.478,0,0.478
12:33.5,6/17/25,12:12:33,SLCE,,Light Curve end ,,,,,
12:43.9,6/17/25,12:12:43,SLCS,,Light Curve start ,6,,,,
12:43.9,6/17/25,12:12:43,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:43.9,6/17/25,12:12:43,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:45.3,6/17/25,12:12:45,FO,91,350,683,0,0.488,0,0.488
12:50.7,6/17/25,12:12:50,SLCE,,Light Curve end ,,,,,
13:07.1,6/17/25,12:13:07,SLCS,,Light Curve start ,6,,,,
13:07.1,6/17/25,12:13:07,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:07.1,6/17/25,12:13:07,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:08.4,6/17/25,12:13:08,FO,92,232,433,0,0.464,0,0.464
13:13.5,6/17/25,12:13:13,SLCE,,Light Curve end ,,,,,
14:58.3,6/17/25,12:14:58,SLCS,,Light Curve start ,7,,,,
14:58.3,6/17/25,12:14:58,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:58.3,6/17/25,12:14:58,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:59.7,6/17/25,12:14:59,FO,93,139,255,0,0.455,0,0.455
15:05.9,6/17/25,12:15:05,SLCE,,Light Curve end ,,,,,
15:16.9,6/17/25,12:15:16,SLCS,,Light Curve start ,7,,,,
15:16.9,6/17/25,12:15:16,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:16.9,6/17/25,12:15:16,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:18.3,6/17/25,12:15:18,FO,94,148,291,0,0.491,0,0.491
15:25.1,6/17/25,12:15:25,SLCE,,Light Curve end ,,,,,
15:58.2,6/17/25,12:15:58,SLCS,,Light Curve start ,7,,,,
15:58.2,6/17/25,12:15:58,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:58.2,6/17/25,12:15:58,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:59.6,6/17/25,12:15:59,FO,95,70,159,0,0.56,0,0.56
16:10.7,6/17/25,12:16:10,SLCE,,Light Curve end ,,,,,
16:46.1,6/17/25,12:16:46,SLCS,,Light Curve start ,8,,,,
16:46.1,6/17/25,12:16:46,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:46.1,6/17/25,12:16:46,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:47.5,6/17/25,12:16:47,FO,96,59,88,0,0.33,0,0.33
16:51.2,6/17/25,12:16:51,SLCE,,Light Curve end ,,,,,
17:45.7,6/17/25,12:17:45,SLCS,,Light Curve start ,8,,,,
17:45.7,6/17/25,12:17:45,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:45.7,6/17/25,12:17:45,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:47.1,6/17/25,12:17:47,FO,97,46,97,0,0.526,0,0.526
17:53.2,6/17/25,12:17:53,SLCE,,Light Curve end ,,,,,
18:02.6,6/17/25,12:18:02,SLCS,,Light Curve start ,8,,,,
18:02.6,6/17/25,12:18:02,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
18:02.6,6/17/25,12:18:02,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
18:04.0,6/17/25,12:18:04,FO,98,102,177,0,0.424,0,0.424
18:08.4,6/17/25,12:18:08,SLCE,,Light Curve end ,,,,,
02:10.7,6/17/25,13:02:10,SLCS,,Light Curve start ,1,,,,
02:10.7,6/17/25,13:02:10,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:10.7,6/17/25,13:02:10,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:12.1,6/17/25,13:02:12,FO,99,39,93,0,0.581,0,0.581
02:23.1,6/17/25,13:02:23,SLCE,,Light Curve end ,,,,,
03:11.2,6/17/25,13:03:11,SLCS,,Light Curve start ,1,,,,
03:11.2,6/17/25,13:03:11,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:11.2,6/17/25,13:03:11,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:12.6,6/17/25,13:03:12,FO,100,117,219,0,0.466,0,0.466
03:17.6,6/17/25,13:03:17,SLCE,,Light Curve end ,,,,,
03:28.7,6/17/25,13:03:28,SLCS,,Light Curve start ,1,,,,
03:28.7,6/17/25,13:03:28,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:28.7,6/17/25,13:03:28,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:30.1,6/17/25,13:03:30,FO,101,379,447,0,0.152,0,0.152
03:35.4,6/17/25,13:03:35,SLCE,,Light Curve end ,,,,,
04:18.8,6/17/25,13:04:18,SLCS,,Light Curve start ,2,,,,
04:18.8,6/17/25,13:04:18,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:18.8,6/17/25,13:04:18,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:20.2,6/17/25,13:04:20,FO,102,56,142,0,0.606,0,0.606
04:26.4,6/17/25,13:04:26,SLCE,,Light Curve end ,,,,,
04:52.2,6/17/25,13:04:52,SLCS,,Light Curve start ,2,,,,
04:52.2,6/17/25,13:04:52,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:52.2,6/17/25,13:04:52,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:53.6,6/17/25,13:04:53,FO,103,107,181,0,0.409,0,0.409
05:04.0,6/17/25,13:05:03,SLCE,,Light Curve end ,,,,,
05:12.8,6/17/25,13:05:12,SLCS,,Light Curve start ,2,,,,
05:12.8,6/17/25,13:05:12,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:12.8,6/17/25,13:05:12,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:14.2,6/17/25,13:05:14,FO,104,87,144,0,0.396,0,0.396
05:22.5,6/17/25,13:05:22,SLCE,,Light Curve end ,,,,,
06:05.5,6/17/25,13:06:05,SLCS,,Light Curve start ,3,,,,
06:05.5,6/17/25,13:06:05,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:05.5,6/17/25,13:06:05,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:06.9,6/17/25,13:06:06,FO,105,85,166,0,0.488,0,0.488
06:16.1,6/17/25,13:06:16,SLCE,,Light Curve end ,,,,,
06:37.0,6/17/25,13:06:36,SLCS,,Light Curve start ,3,,,,
06:37.0,6/17/25,13:06:36,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:37.0,6/17/25,13:06:36,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:38.4,6/17/25,13:06:38,FO,106,129,216,0,0.403,0,0.403
06:44.6,6/17/25,13:06:44,SLCE,,Light Curve end ,,,,,
07:40.5,6/17/25,13:07:40,SLCS,,Light Curve start ,3,,,,
07:40.5,6/17/25,13:07:40,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:40.5,6/17/25,13:07:40,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:41.9,6/17/25,13:07:41,FO,107,201,361,0,0.443,0,0.443
07:54.6,6/17/25,13:07:54,SLCE,,Light Curve end ,,,,,
08:29.8,6/17/25,13:08:29,SLCS,,Light Curve start ,4,,,,
08:29.8,6/17/25,13:08:29,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:29.8,6/17/25,13:08:29,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:31.2,6/17/25,13:08:31,FO,108,60,155,0,0.613,0,0.613
08:38.0,6/17/25,13:08:38,SLCE,,Light Curve end ,,,,,
09:22.3,6/17/25,13:09:22,SLCS,,Light Curve start ,4,,,,
09:22.3,6/17/25,13:09:22,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:22.3,6/17/25,13:09:22,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:23.7,6/17/25,13:09:23,FO,109,99,237,0,0.582,0,0.582
09:30.1,6/17/25,13:09:30,SLCE,,Light Curve end ,,,,,
09:41.2,6/17/25,13:09:41,SLCS,,Light Curve start ,4,,,,
09:41.2,6/17/25,13:09:41,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:41.2,6/17/25,13:09:41,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:42.6,6/17/25,13:09:42,FO,110,135,293,0,0.539,0,0.539
09:49.3,6/17/25,13:09:49,SLCE,,Light Curve end ,,,,,
11:54.6,6/17/25,13:11:54,SLCS,,Light Curve start ,5,,,,
11:54.6,6/17/25,13:11:54,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
11:54.6,6/17/25,13:11:54,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
11:56.0,6/17/25,13:11:56,FO,111,161,265,0,0.392,0,0.392
11:59.7,6/17/25,13:11:59,SLCE,,Light Curve end ,,,,,
12:06.7,6/17/25,13:12:06,SLCS,,Light Curve start ,5,,,,
12:06.7,6/17/25,13:12:06,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:06.7,6/17/25,13:12:06,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:08.0,6/17/25,13:12:08,FO,112,148,235,0,0.37,0,0.37
12:13.0,6/17/25,13:12:13,SLCE,,Light Curve end ,,,,,
12:24.1,6/17/25,13:12:24,SLCS,,Light Curve start ,5,,,,
12:24.1,6/17/25,13:12:24,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:24.1,6/17/25,13:12:24,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:25.5,6/17/25,13:12:25,FO,113,164,293,0,0.44,0,0.44
12:29.4,6/17/25,13:12:29,SLCE,,Light Curve end ,,,,,
12:41.5,6/17/25,13:12:41,SLCS,,Light Curve start ,6,,,,
12:41.5,6/17/25,13:12:41,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:41.5,6/17/25,13:12:41,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:42.9,6/17/25,13:12:42,FO,114,103,212,0,0.514,0,0.514
12:48.3,6/17/25,13:12:48,SLCE,,Light Curve end ,,,,,
12:54.4,6/17/25,13:12:54,SLCS,,Light Curve start ,6,,,,
12:54.4,6/17/25,13:12:54,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:54.4,6/17/25,13:12:54,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:55.8,6/17/25,13:12:55,FO,115,225,412,0,0.454,0,0.454
12:59.7,6/17/25,13:12:59,SLCE,,Light Curve end ,,,,,
13:07.8,6/17/25,13:13:07,SLCS,,Light Curve start ,6,,,,
13:07.8,6/17/25,13:13:07,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:07.8,6/17/25,13:13:07,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:09.2,6/17/25,13:13:09,FO,116,169,338,0,0.5,0,0.5
13:13.6,6/17/25,13:13:13,SLCE,,Light Curve end ,,,,,
14:28.5,6/17/25,13:14:28,SLCS,,Light Curve start ,7,,,,
14:28.5,6/17/25,13:14:28,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:28.5,6/17/25,13:14:28,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:29.8,6/17/25,13:14:29,FO,117,132,138,0,0.043,0,0.043
14:36.2,6/17/25,13:14:36,SLCE,,Light Curve end ,,,,,
15:00.3,6/17/25,13:15:00,SLCS,,Light Curve start ,7,,,,
15:00.3,6/17/25,13:15:00,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:00.3,6/17/25,13:15:00,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:01.7,6/17/25,13:15:01,FO,118,183,352,0,0.48,0,0.48
15:07.5,6/17/25,13:15:07,SLCE,,Light Curve end ,,,,,
15:26.9,6/17/25,13:15:26,SLCS,,Light Curve start ,7,,,,
15:26.9,6/17/25,13:15:26,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:26.9,6/17/25,13:15:26,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:28.3,6/17/25,13:15:28,FO,119,55,122,0,0.549,0,0.549
15:35.2,6/17/25,13:15:35,SLCE,,Light Curve end ,,,,,
15:51.7,6/17/25,13:15:51,SLCS,,Light Curve start ,8,,,,
15:51.7,6/17/25,13:15:51,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:51.7,6/17/25,13:15:51,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:53.0,6/17/25,13:15:53,FO,120,70,196,0,0.643,0,0.643
15:58.8,6/17/25,13:15:58,SLCE,,Light Curve end ,,,,,
16:08.4,6/17/25,13:16:08,SLCS,,Light Curve start ,8,,,,
16:08.4,6/17/25,13:16:08,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:08.4,6/17/25,13:16:08,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:09.8,6/17/25,13:16:09,FO,121,48,135,0,0.644,0,0.644
16:16.4,6/17/25,13:16:16,SLCE,,Light Curve end ,,,,,
16:41.9,6/17/25,13:16:41,SLCS,,Light Curve start ,8,,,,
16:41.9,6/17/25,13:16:41,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:41.9,6/17/25,13:16:41,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:43.3,6/17/25,13:16:43,FO,122,63,151,0,0.583,0,0.583
16:48.9,6/17/25,13:16:48,SLCE,,Light Curve end ,,,,,
16:59.7,6/17/25,13:16:59,SLCS,,Light Curve start ,8,,,,
16:59.7,6/17/25,13:16:59,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:59.7,6/17/25,13:16:59,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:01.1,6/17/25,13:17:01,FO,123,86,183,0,0.53,0,0.53
17:05.7,6/17/25,13:17:05,SLCE,,Light Curve end ,,,,,
03:11.0,6/17/25,14:03:11,SLCS,,Light Curve start ,1,,,,
03:11.0,6/17/25,14:03:11,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:11.0,6/17/25,14:03:11,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:12.4,6/17/25,14:03:12,FO,124,267,337,0,0.208,0,0.208
03:19.6,6/17/25,14:03:19,SLCE,,Light Curve end ,,,,,
03:29.0,6/17/25,14:03:28,SLCS,,Light Curve start ,1,,,,
03:29.0,6/17/25,14:03:28,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:29.0,6/17/25,14:03:28,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:30.4,6/17/25,14:03:30,FO,125,210,319,0,0.342,0,0.342
03:35.4,6/17/25,14:03:35,SLCE,,Light Curve end ,,,,,
03:54.9,6/17/25,14:03:54,SLCS,,Light Curve start ,1,,,,
03:54.9,6/17/25,14:03:54,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:54.9,6/17/25,14:03:54,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:56.3,6/17/25,14:03:56,FO,126,85,173,0,0.509,0,0.509
04:03.6,6/17/25,14:04:03,SLCE,,Light Curve end ,,,,,
04:34.4,6/17/25,14:04:34,SLCS,,Light Curve start ,2,,,,
04:34.4,6/17/25,14:04:34,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:34.4,6/17/25,14:04:34,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:35.8,6/17/25,14:04:35,FO,127,80,150,0,0.467,0,0.467
04:40.2,6/17/25,14:04:40,SLCE,,Light Curve end ,,,,,
04:50.1,6/17/25,14:04:50,SLCS,,Light Curve start ,2,,,,
04:50.1,6/17/25,14:04:50,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:50.1,6/17/25,14:04:50,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:51.5,6/17/25,14:04:51,FO,128,114,284,0,0.599,0,0.599
04:56.2,6/17/25,14:04:56,SLCE,,Light Curve end ,,,,,
05:16.4,6/17/25,14:05:16,SLCS,,Light Curve start ,2,,,,
05:16.4,6/17/25,14:05:16,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:16.4,6/17/25,14:05:16,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:17.8,6/17/25,14:05:17,FO,129,99,175,0,0.434,0,0.434
05:23.0,6/17/25,14:05:22,SLCE,,Light Curve end ,,,,,
05:45.2,6/17/25,14:05:45,SLCS,,Light Curve start ,3,,,,
05:45.2,6/17/25,14:05:45,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:45.2,6/17/25,14:05:45,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:46.6,6/17/25,14:05:46,FO,130,103,213,0,0.516,0,0.516
05:52.0,6/17/25,14:05:52,SLCE,,Light Curve end ,,,,,
06:02.7,6/17/25,14:06:02,SLCS,,Light Curve start ,3,,,,
06:02.7,6/17/25,14:06:02,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:02.7,6/17/25,14:06:02,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:04.1,6/17/25,14:06:04,FO,131,96,175,0,0.451,0,0.451
06:13.0,6/17/25,14:06:12,SLCE,,Light Curve end ,,,,,
07:03.7,6/17/25,14:07:03,SLCS,,Light Curve start ,3,,,,
07:03.7,6/17/25,14:07:03,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:03.7,6/17/25,14:07:03,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:05.1,6/17/25,14:07:05,FO,132,80,170,0,0.529,0,0.529
07:11.6,6/17/25,14:07:11,SLCE,,Light Curve end ,,,,,
07:28.9,6/17/25,14:07:28,SLCS,,Light Curve start ,4,,,,
07:28.9,6/17/25,14:07:28,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:28.9,6/17/25,14:07:28,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:30.3,6/17/25,14:07:30,FO,133,178,418,0,0.574,0,0.574
07:36.6,6/17/25,14:07:36,SLCE,,Light Curve end ,,,,,
07:43.0,6/17/25,14:07:42,SLCS,,Light Curve start ,4,,,,
07:43.0,6/17/25,14:07:42,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:43.0,6/17/25,14:07:42,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:44.4,6/17/25,14:07:44,FO,134,64,152,0,0.579,0,0.579
07:50.6,6/17/25,14:07:50,SLCE,,Light Curve end ,,,,,
08:04.6,6/17/25,14:08:04,SLCS,,Light Curve start ,4,,,,
08:04.6,6/17/25,14:08:04,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:04.6,6/17/25,14:08:04,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:06.0,6/17/25,14:08:06,FO,135,124,224,0,0.446,0,0.446
08:12.2,6/17/25,14:08:12,SLCE,,Light Curve end ,,,,,
12:00.0,6/17/25,14:12:00,SLCS,,Light Curve start ,5,,,,
12:00.0,6/17/25,14:12:00,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:00.0,6/17/25,14:12:00,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:01.4,6/17/25,14:12:01,FO,136,133,193,0,0.311,0,0.311
12:15.4,6/17/25,14:12:15,SLCE,,Light Curve end ,,,,,
12:22.4,6/17/25,14:12:22,SLCS,,Light Curve start ,5,,,,
12:22.4,6/17/25,14:12:22,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:22.4,6/17/25,14:12:22,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:23.8,6/17/25,14:12:23,FO,137,229,399,0,0.426,0,0.426
12:27.1,6/17/25,14:12:27,SLCE,,Light Curve end ,,,,,
12:37.6,6/17/25,14:12:37,SLCS,,Light Curve start ,5,,,,
12:37.6,6/17/25,14:12:37,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:37.6,6/17/25,14:12:37,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:39.0,6/17/25,14:12:39,FO,138,156,236,0,0.339,0,0.339
12:45.6,6/17/25,14:12:45,SLCE,,Light Curve end ,,,,,
13:12.0,6/17/25,14:13:11,SLCS,,Light Curve start ,6,,,,
13:12.0,6/17/25,14:13:11,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:12.0,6/17/25,14:13:11,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:13.4,6/17/25,14:13:13,FO,139,43,84,0,0.488,0,0.488
13:18.0,6/17/25,14:13:18,SLCE,,Light Curve end ,,,,,
13:23.7,6/17/25,14:13:23,SLCS,,Light Curve start ,6,,,,
13:23.7,6/17/25,14:13:23,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:23.7,6/17/25,14:13:23,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:25.1,6/17/25,14:13:25,FO,140,53,127,0,0.583,0,0.583
13:31.2,6/17/25,14:13:31,SLCE,,Light Curve end ,,,,,
13:41.2,6/17/25,14:13:41,SLCS,,Light Curve start ,6,,,,
13:41.2,6/17/25,14:13:41,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:41.2,6/17/25,14:13:41,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:42.6,6/17/25,14:13:42,FO,141,123,264,0,0.534,0,0.534
13:47.0,6/17/25,14:13:46,SLCE,,Light Curve end ,,,,,
14:00.8,6/17/25,14:14:00,SLCS,,Light Curve start ,7,,,,
14:00.8,6/17/25,14:14:00,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:00.8,6/17/25,14:14:00,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:02.2,6/17/25,14:14:02,FO,142,72,165,0,0.564,0,0.564
14:06.7,6/17/25,14:14:06,SLCE,,Light Curve end ,,,,,
14:17.8,6/17/25,14:14:17,SLCS,,Light Curve start ,7,,,,
14:17.8,6/17/25,14:14:17,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:17.8,6/17/25,14:14:17,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:19.2,6/17/25,14:14:19,FO,143,62,157,0,0.605,0,0.605
14:24.3,6/17/25,14:14:24,SLCE,,Light Curve end ,,,,,
14:49.3,6/17/25,14:14:49,SLCS,,Light Curve start ,7,,,,
14:49.3,6/17/25,14:14:49,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:49.3,6/17/25,14:14:49,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:50.7,6/17/25,14:14:50,FO,144,108,242,0,0.554,0,0.554
14:58.4,6/17/25,14:14:58,SLCE,,Light Curve end ,,,,,
15:30.6,6/17/25,14:15:30,SLCS,,Light Curve start ,8,,,,
15:30.6,6/17/25,14:15:30,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:30.6,6/17/25,14:15:30,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:32.0,6/17/25,14:15:32,FO,145,72,178,0,0.596,0,0.596
15:38.7,6/17/25,14:15:38,SLCE,,Light Curve end ,,,,,
16:02.4,6/17/25,14:16:02,SLCS,,Light Curve start ,8,,,,
16:02.4,6/17/25,14:16:02,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:02.4,6/17/25,14:16:02,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:03.8,6/17/25,14:16:03,FO,146,66,174,0,0.621,0,0.621
16:08.6,6/17/25,14:16:08,SLCE,,Light Curve end ,,,,,
16:23.3,6/17/25,14:16:23,SLCS,,Light Curve start ,8,,,,
16:23.3,6/17/25,14:16:23,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:23.3,6/17/25,14:16:23,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:24.7,6/17/25,14:16:24,FO,147,83,165,0,0.497,0,0.497
16:46.7,6/17/25,14:16:46,SLCE,,Light Curve end ,,,,,
59:24.4,6/17/25,14:59:24,SLCS,,Light Curve start ,1,,,,
59:24.4,6/17/25,14:59:24,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:24.4,6/17/25,14:59:24,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:25.7,6/17/25,14:59:25,FO,148,164,267,0,0.386,0,0.386
59:33.3,6/17/25,14:59:33,SLCE,,Light Curve end ,,,,,
59:54.0,6/17/25,14:59:53,SLCS,,Light Curve start ,1,,,,
59:54.0,6/17/25,14:59:53,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:54.0,6/17/25,14:59:53,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:55.4,6/17/25,14:59:55,FO,149,230,331,0,0.305,0,0.305
59:59.4,6/17/25,14:59:59,SLCE,,Light Curve end ,,,,,
00:21.2,6/17/25,15:00:21,SLCS,,Light Curve start ,1,,,,
00:21.2,6/17/25,15:00:21,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
00:21.2,6/17/25,15:00:21,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
00:22.5,6/17/25,15:00:22,FO,150,61,143,0,0.573,0,0.573
00:26.9,6/17/25,15:00:26,SLCE,,Light Curve end ,,,,,
00:52.7,6/17/25,15:00:52,SLCS,,Light Curve start ,2,,,,
00:52.7,6/17/25,15:00:52,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
00:52.7,6/17/25,15:00:52,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
00:54.1,6/17/25,15:00:54,FO,151,48,155,0,0.69,0,0.69
01:01.8,6/17/25,15:01:01,SLCE,,Light Curve end ,,,,,
01:24.2,6/17/25,15:01:24,SLCS,,Light Curve start ,2,,,,
01:25.6,6/17/25,15:01:25,FO,152,52,142,0,0.634,0,0.634
01:26.0,6/17/25,15:01:25,SLCE,,Light Curve end ,,,,,
01:47.2,6/17/25,15:01:47,SLCS,,Light Curve start ,2,,,,
01:47.2,6/17/25,15:01:47,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:47.2,6/17/25,15:01:47,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:48.6,6/17/25,15:01:48,FO,154,59,153,0,0.614,0,0.614
01:57.8,6/17/25,15:01:57,SLCE,,Light Curve end ,,,,,
02:25.2,6/17/25,15:02:25,SLCS,,Light Curve start ,2,,,,
02:25.2,6/17/25,15:02:25,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:25.2,6/17/25,15:02:25,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:26.5,6/17/25,15:02:26,FO,155,54,171,0,0.684,0,0.684
02:31.9,6/17/25,15:02:31,SLCE,,Light Curve end ,,,,,
03:06.0,6/17/25,15:03:05,SLCS,,Light Curve start ,3,,,,
03:06.0,6/17/25,15:03:05,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:06.0,6/17/25,15:03:05,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:07.4,6/17/25,15:03:07,FO,156,60,154,0,0.61,0,0.61
03:13.6,6/17/25,15:03:13,SLCE,,Light Curve end ,,,,,
03:38.9,6/17/25,15:03:38,SLCS,,Light Curve start ,3,,,,
03:38.9,6/17/25,15:03:38,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:38.9,6/17/25,15:03:38,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:40.3,6/17/25,15:03:40,FO,157,58,122,0,0.525,0,0.525
