Datetime,Date,Time,Type,no,F,FmPrime,PAR,YII,ETR,FvFm
12:58.7,6/17/25,10:12:58,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:58.7,6/17/25,10:12:58,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:00.1,6/17/25,10:13:00,FO,43,114,286,0,0.601,0,0.601
13:04.5,6/17/25,10:13:04,SLCE,,Light Curve end ,,,,,
13:48.0,6/17/25,10:13:47,SLCS,,Light Curve start ,7,,,,
13:48.0,6/17/25,10:13:47,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:48.0,6/17/25,10:13:47,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:49.4,6/17/25,10:13:49,FO,44,99,239,0,0.586,0,0.586
13:54.7,6/17/25,10:13:54,SLCE,,Light Curve end ,,,,,
14:26.2,6/17/25,10:14:26,SLCS,,Light Curve start ,7,,,,
14:26.2,6/17/25,10:14:26,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:26.2,6/17/25,10:14:26,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:27.6,6/17/25,10:14:27,FO,45,66,155,0,0.574,0,0.574
14:34.1,6/17/25,10:14:34,SLCE,,Light Curve end ,,,,,
14:46.3,6/17/25,10:14:46,SLCS,,Light Curve start ,7,,,,
14:46.3,6/17/25,10:14:46,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:46.3,6/17/25,10:14:46,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
14:47.7,6/17/25,10:14:47,FO,46,66,191,0,0.654,0,0.654
14:52.1,6/17/25,10:14:52,SLCE,,Light Curve end ,,,,,
15:14.1,6/17/25,10:15:14,SLCS,,Light Curve start ,8,,,,
15:14.1,6/17/25,10:15:14,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:14.1,6/17/25,10:15:14,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
15:15.5,6/17/25,10:15:15,FO,47,67,174,0,0.615,0,0.615
15:19.8,6/17/25,10:15:19,SLCE,,Light Curve end ,,,,,
16:34.2,6/17/25,10:16:34,SLCS,,Light Curve start ,8,,,,
16:34.2,6/17/25,10:16:34,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:34.2,6/17/25,10:16:34,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:35.6,6/17/25,10:16:35,FO,48,57,138,0,0.587,0,0.587
16:40.3,6/17/25,10:16:40,SLCE,,Light Curve end ,,,,,
17:22.9,6/17/25,10:17:22,SLCS,,Light Curve start ,8,,,,
17:22.9,6/17/25,10:17:22,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:22.9,6/17/25,10:17:22,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:24.3,6/17/25,10:17:24,FO,49,62,94,0,0.34,0,0.34
17:30.4,6/17/25,10:17:30,SLCE,,Light Curve end ,,,,,
59:09.1,6/17/25,10:59:09,SLCS,,Light Curve start ,1,,,,
59:09.1,6/17/25,10:59:09,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:09.1,6/17/25,10:59:09,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:10.4,6/17/25,10:59:10,FO,50,350,426,0,0.178,0,0.178
59:16.5,6/17/25,10:59:16,SLCE,,Light Curve end ,,,,,
59:45.8,6/17/25,10:59:45,SLCS,,Light Curve start ,1,,,,
59:45.8,6/17/25,10:59:45,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:45.8,6/17/25,10:59:45,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:47.2,6/17/25,10:59:47,FO,51,114,184,0,0.38,0,0.38
59:53.8,6/17/25,10:59:53,SLCE,,Light Curve end ,,,,,
00:02.2,6/17/25,11:00:02,SLCS,,Light Curve start ,1,,,,
00:02.2,6/17/25,11:00:02,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
00:02.2,6/17/25,11:00:02,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
00:03.6,6/17/25,11:00:03,FO,52,167,262,0,0.363,0,0.363
00:09.7,6/17/25,11:00:09,SLCE,,Light Curve end ,,,,,
00:27.5,6/17/25,11:00:27,SLCS,,Light Curve start ,2,,,,
00:27.5,6/17/25,11:00:27,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
00:27.5,6/17/25,11:00:27,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
00:28.8,6/17/25,11:00:28,FO,53,75,147,0,0.49,0,0.49
00:36.1,6/17/25,11:00:36,SLCE,,Light Curve end ,,,,,
01:03.2,6/17/25,11:01:03,SLCS,,Light Curve start ,2,,,,
01:03.2,6/17/25,11:01:03,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:03.2,6/17/25,11:01:03,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:04.6,6/17/25,11:01:04,FO,54,155,225,0,0.311,0,0.311
01:08.3,6/17/25,11:01:08,SLCE,,Light Curve end ,,,,,
01:24.5,6/17/25,11:01:24,SLCS,,Light Curve start ,2,,,,
01:24.5,6/17/25,11:01:24,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:24.5,6/17/25,11:01:24,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:25.9,6/17/25,11:01:25,FO,55,80,179,0,0.553,0,0.553
01:31.3,6/17/25,11:01:31,SLCE,,Light Curve end ,,,,,
01:55.2,6/17/25,11:01:55,SLCS,,Light Curve start ,3,,,,
01:55.2,6/17/25,11:01:55,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:55.2,6/17/25,11:01:55,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:56.5,6/17/25,11:01:56,FO,56,80,155,0,0.484,0,0.484
02:01.8,6/17/25,11:02:01,SLCE,,Light Curve end ,,,,,
02:18.9,6/17/25,11:02:18,SLCS,,Light Curve start ,3,,,,
02:18.9,6/17/25,11:02:18,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:18.9,6/17/25,11:02:18,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:20.3,6/17/25,11:02:20,FO,57,116,235,0,0.506,0,0.506
02:25.5,6/17/25,11:02:25,SLCE,,Light Curve end ,,,,,
02:49.2,6/17/25,11:02:49,SLCS,,Light Curve start ,3,,,,
02:49.2,6/17/25,11:02:49,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:49.2,6/17/25,11:02:49,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:50.6,6/17/25,11:02:50,FO,58,62,140,0,0.557,0,0.557
02:58.8,6/17/25,11:02:58,SLCE,,Light Curve end ,,,,,
03:50.6,6/17/25,11:03:50,SLCS,,Light Curve start ,4,,,,
03:50.6,6/17/25,11:03:50,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:50.6,6/17/25,11:03:50,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:52.0,6/17/25,11:03:51,FO,59,81,174,0,0.534,0,0.534
04:00.5,6/17/25,11:04:00,SLCE,,Light Curve end ,,,,,
04:23.6,6/17/25,11:04:23,SLCS,,Light Curve start ,4,,,,
04:23.6,6/17/25,11:04:23,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:23.6,6/17/25,11:04:23,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:25.0,6/17/25,11:04:25,FO,60,70,150,0,0.533,0,0.533
04:31.4,6/17/25,11:04:31,SLCE,,Light Curve end ,,,,,
04:41.6,6/17/25,11:04:41,SLCS,,Light Curve start ,4,,,,
04:41.6,6/17/25,11:04:41,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:41.6,6/17/25,11:04:41,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:43.0,6/17/25,11:04:42,FO,61,72,115,0,0.374,0,0.374
04:52.6,6/17/25,11:04:52,SLCE,,Light Curve end ,,,,,
07:13.4,6/17/25,11:07:13,SLCS,,Light Curve start ,5,,,,
07:13.4,6/17/25,11:07:13,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:13.4,6/17/25,11:07:13,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:14.8,6/17/25,11:07:14,FO,62,258,412,0,0.374,0,0.374
07:20.7,6/17/25,11:07:20,SLCE,,Light Curve end ,,,,,
07:36.7,6/17/25,11:07:36,SLCS,,Light Curve start ,5,,,,
07:36.7,6/17/25,11:07:36,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:36.7,6/17/25,11:07:36,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:38.0,6/17/25,11:07:38,FO,63,116,190,0,0.389,0,0.389
07:43.4,6/17/25,11:07:43,SLCE,,Light Curve end ,,,,,
07:51.9,6/17/25,11:07:51,SLCS,,Light Curve start ,5,,,,
07:51.9,6/17/25,11:07:51,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:51.9,6/17/25,11:07:51,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:53.3,6/17/25,11:07:53,FO,64,180,300,0,0.4,0,0.4
07:58.0,6/17/25,11:07:57,SLCE,,Light Curve end ,,,,,
08:28.2,6/17/25,11:08:28,SLCS,,Light Curve start ,6,,,,
08:28.2,6/17/25,11:08:28,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:28.2,6/17/25,11:08:28,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:29.6,6/17/25,11:08:29,FO,65,235,472,0,0.502,0,0.502
08:37.2,6/17/25,11:08:37,SLCE,,Light Curve end ,,,,,
08:57.7,6/17/25,11:08:57,SLCS,,Light Curve start ,6,,,,
08:57.7,6/17/25,11:08:57,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:57.7,6/17/25,11:08:57,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:59.1,6/17/25,11:08:59,FO,66,289,523,0,0.447,0,0.447
09:05.6,6/17/25,11:09:05,SLCE,,Light Curve end ,,,,,
09:16.8,6/17/25,11:09:16,SLCS,,Light Curve start ,6,,,,
09:16.8,6/17/25,11:09:16,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
