"2025-06-19";"12:21:12";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1231B) ";""
"2025-06-19 12:13:21.322";"2025-06-19";"12:13:21";"F";"431";"96";"118";"625";"0.186";"48.8";"53";"0.338";"0.542";"65";"207";"0.686"
"2025-06-19 12:13:51.311";"2025-06-19";"12:13:51";"F";"432";"99";"115";"820";"0.139";"47.9";"52";"0.254";"0.556";"65";"207";"0.686"
"2025-06-19 12:14:21.304";"2025-06-19";"12:14:21";"F";"433";"102";"114";"1150";"0.105";"50.7";"52";"0.194";"0.563";"65";"207";"0.686"
"2025-06-19 12:14:24.440";"2025-06-19";"12:14:24";"SLCE";"";"Light Curve end ";""
"2025-06-19 12:14:54.588";"2025-06-19";"12:14:54";"SLCS";"";"Light Curve start ";"452"
"2025-06-19 12:14:54.588";"2025-06-19";"12:14:54";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.015, ETRmPot: 26.263 )   (Platt et al. 1980) ";""
"2025-06-19 12:14:54.588";"2025-06-19";"12:14:54";"REG2";"";"#1: alpha: 0.128, ETRm: 43.678, Ik: 341.815   (Jassby and Platt 1976) ";""
"2025-06-19 12:14:55.986";"2025-06-19";"12:14:55";"FO";"434";"108";"172";"0";"0.372";"0.0";"-";"-";"-";"108";"172";"0.372"
"2025-06-19 12:15:25.968";"2025-06-19";"12:15:25";"F";"435";"115";"167";"90";"0.311";"11.8";"106";"0.852";"0.047";"108";"172";"0.372"
"2025-06-19 12:15:55.964";"2025-06-19";"12:15:55";"F";"436";"117";"172";"125";"0.320";"16.8";"108";"0.859";"0.000";"108";"172";"0.372"
"2025-06-19 12:16:25.950";"2025-06-19";"12:16:25";"F";"437";"121";"172";"190";"0.297";"23.7";"108";"0.797";"0.000";"108";"172";"0.372"
"2025-06-19 12:16:55.939";"2025-06-19";"12:16:55";"F";"438";"122";"166";"285";"0.265";"31.7";"106";"0.733";"0.062";"108";"172";"0.372"
"2025-06-19 12:17:25.923";"2025-06-19";"12:17:25";"F";"439";"124";"152";"420";"0.184";"32.5";"100";"0.538";"0.187";"108";"172";"0.372"
"2025-06-19 12:17:55.910";"2025-06-19";"12:17:55";"F";"440";"122";"145";"625";"0.159";"41.7";"97";"0.479";"0.250";"108";"172";"0.372"
"2025-06-19 12:18:25.903";"2025-06-19";"12:18:25";"F";"441";"125";"138";"820";"0.094";"32.4";"94";"0.295";"0.312";"108";"172";"0.372"
"2025-06-19 12:18:55.891";"2025-06-19";"12:18:55";"F";"442";"125";"141";"1150";"0.113";"54.6";"95";"0.348";"0.281";"108";"172";"0.372"
"2025-06-19 12:18:58.953";"2025-06-19";"12:18:58";"SLCE";"";"Light Curve end ";""
