"2025-06-14";"19:28:13";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1231B) ";""
"2025-06-14 14:59:32.811";"2025-06-14";"14:59:32";"SLCS";"";"Light Curve start ";""
"2025-06-14 14:59:34.202";"2025-06-14";"14:59:34";"FO";"1";"11";"13";"0";"-";"-";"-";"-";"-";"11";"13";"0.154"
"2025-06-14 14:59:34.601";"2025-06-14";"14:59:34";"SLCE";"";"Light Curve end ";""
"2025-06-14 15:00:02.822";"2025-06-14";"15:00:02";"SLCS";"";"Light Curve start ";"377"
"2025-06-14 15:00:02.822";"2025-06-14";"15:00:02";"REG1";"";"#1: alpha: 0.225, ETRm: 44.053, Ik: 195.493   ( beta: 0.015, ETRmPot: 56.233 )   (Platt et al. 1980) ";""
"2025-06-14 15:00:02.822";"2025-06-14";"15:00:02";"REG2";"";"#1: alpha: 0.185, ETRm: 43.111, Ik: 233.197   (Jassby and Platt 1976) ";""
"2025-06-14 15:00:04.214";"2025-06-14";"15:00:04";"FO";"2";"165";"316";"0";"0.478";"0.0";"-";"-";"-";"165";"316";"0.478"
"2025-06-14 15:00:34.206";"2025-06-14";"15:00:34";"F";"3";"171";"281";"90";"0.391";"14.8";"155";"0.873";"0.125";"165";"316";"0.478"
"2025-06-14 15:01:04.195";"2025-06-14";"15:01:04";"F";"4";"173";"293";"125";"0.410";"21.5";"159";"0.896";"0.078";"165";"316";"0.478"
"2025-06-14 15:01:34.175";"2025-06-14";"15:01:34";"F";"5";"178";"278";"190";"0.360";"28.7";"154";"0.806";"0.137";"165";"316";"0.478"
"2025-06-14 15:02:04.168";"2025-06-14";"15:02:04";"F";"6";"175";"252";"285";"0.306";"36.6";"146";"0.726";"0.254";"165";"316";"0.478"
"2025-06-14 15:02:34.158";"2025-06-14";"15:02:34";"F";"7";"178";"233";"420";"0.236";"41.6";"139";"0.585";"0.356";"165";"316";"0.478"
"2025-06-14 15:03:04.149";"2025-06-14";"15:03:04";"F";"8";"184";"221";"625";"0.167";"43.8";"135";"0.430";"0.430";"165";"316";"0.478"
"2025-06-14 15:03:34.137";"2025-06-14";"15:03:34";"F";"9";"185";"211";"820";"0.123";"42.4";"131";"0.325";"0.498";"165";"316";"0.478"
"2025-06-14 15:04:04.126";"2025-06-14";"15:04:04";"F";"10";"188";"206";"1150";"0.087";"42.0";"129";"0.234";"0.534";"165";"316";"0.478"
"2025-06-14 15:04:07.815";"2025-06-14";"15:04:07";"SLCE";"";"Light Curve end ";""
"2025-06-14 15:04:55.173";"2025-06-14";"15:04:55";"SLCS";"";"Light Curve start ";"378"
"2025-06-14 15:04:55.173";"2025-06-14";"15:04:55";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.009, ETRmPot: 30.388 )   (Platt et al. 1980) ";""
"2025-06-14 15:04:55.173";"2025-06-14";"15:04:55";"REG2";"";"#1: alpha: 0.139, ETRm: 38.895, Ik: 280.283   (Jassby and Platt 1976) ";""
"2025-06-14 15:04:56.565";"2025-06-14";"15:04:56";"FO";"11";"162";"327";"0";"0.505";"0.0";"-";"-";"-";"162";"327";"0.505"
"2025-06-14 15:05:26.550";"2025-06-14";"15:05:26";"F";"12";"178";"279";"90";"0.362";"13.7";"149";"0.777";"0.172";"162";"327";"0.505"
"2025-06-14 15:05:56.539";"2025-06-14";"15:05:56";"F";"13";"181";"273";"125";"0.337";"17.7";"148";"0.736";"0.198";"162";"327";"0.505"
"2025-06-14 15:06:26.523";"2025-06-14";"15:06:26";"F";"14";"185";"262";"190";"0.294";"23.5";"144";"0.653";"0.248";"162";"327";"0.505"
"2025-06-14 15:06:56.515";"2025-06-14";"15:06:56";"F";"15";"189";"251";"285";"0.247";"29.6";"141";"0.564";"0.303";"162";"327";"0.505"
"2025-06-14 15:07:26.506";"2025-06-14";"15:07:26";"F";"16";"196";"240";"420";"0.183";"32.3";"137";"0.427";"0.363";"162";"327";"0.505"
"2025-06-14 15:07:56.489";"2025-06-14";"15:07:56";"F";"17";"201";"231";"625";"0.130";"34.1";"134";"0.309";"0.416";"162";"327";"0.505"
"2025-06-14 15:08:26.494";"2025-06-14";"15:08:26";"F";"18";"203";"230";"820";"0.117";"40.3";"134";"0.281";"0.422";"162";"327";"0.505"
"2025-06-14 15:08:56.487";"2025-06-14";"15:08:56";"F";"19";"206";"226";"1150";"0.088";"42.5";"133";"0.215";"0.447";"162";"327";"0.505"
"2025-06-14 15:08:59.635";"2025-06-14";"15:08:59";"SLCE";"";"Light Curve end ";""
"2025-06-14 15:12:12.955";"2025-06-14";"15:12:12";"SLCS";"";"Light Curve start ";"379"
"2025-06-14 15:12:12.955";"2025-06-14";"15:12:12";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 24.902 )   (Platt et al. 1980) ";""
"2025-06-14 15:12:12.955";"2025-06-14";"15:12:12";"REG2";"";"#1: alpha: 0.108, ETRm: 28.749, Ik: 266.411   (Jassby and Platt 1976) ";""
"2025-06-14 15:12:14.343";"2025-06-14";"15:12:14";"FO";"20";"166";"305";"0";"0.456";"0.0";"-";"-";"-";"166";"305";"0.456"
"2025-06-14 15:12:44.341";"2025-06-14";"15:12:44";"F";"21";"183";"259";"90";"0.293";"11.1";"151";"0.704";"0.178";"166";"305";"0.456"
