"","plant_part","bin","run","date","max_temp","min_temp","mean_temp"
"83","canopy",4,1,2024-07-26,30.62,25.7,27.5908333333333
"84","canopy",4,1,2024-07-27,27.14,24.52,25.7359722222222
"85","canopy",4,1,2024-07-28,28.85,23.69,25.835625
"86","canopy",4,1,2024-07-29,26.2,23.29,25.1452777777778
"87","canopy",4,1,2024-07-30,29.9,24.19,26.1984027777778
"88","canopy",4,1,2024-07-31,30.05,23.83,26.1249305555556
"89","canopy",4,1,2024-08-01,30.05,23.24,25.7488888888889
"90","canopy",4,1,2024-08-02,29.77,23.18,24.2768571428571
"91","canopy",4,2,2024-08-03,28.27,23.85,26.5436458333333
"92","canopy",4,2,2024-08-04,28.69,24.34,26.2307638888889
"93","canopy",4,2,2024-08-05,29.3,23.81,26.1652777777778
"94","canopy",4,2,2024-08-06,29.98,23.05,26.0768055555556
"95","canopy",4,2,2024-08-07,30.94,24.27,26.9939583333333
"96","canopy",4,2,2024-08-08,30.66,25.03,27.2783333333333
"97","canopy",4,2,2024-08-09,29.71,24.32,26.6745833333333
"98","canopy",4,2,2024-08-10,28.36,24.34,26.3153472222222
"99","canopy",4,2,2024-08-11,29.92,24.59,26.6242361111111
"100","canopy",4,3,2024-08-12,28.97,24.8,26.7765277777778
"101","canopy",4,3,2024-08-13,31.9,25.7,28.1483333333333
"102","canopy",4,3,2024-08-14,31.23,26.14,28.4905555555556
"103","canopy",4,3,2024-08-15,29.81,26.46,27.9238194444444
"104","canopy",4,3,2024-08-16,33.93,25.89,28.3777083333333
"105","canopy",4,3,2024-08-17,31.73,26.4,28.5625694444444
"106","canopy",4,3,2024-08-18,28.45,25.36,26.8690972222222
"107","canopy",4,3,2024-08-19,29.42,24.87,26.7958333333333
"108","canopy",4,3,2024-08-20,30.3,25.09,26.8302307692308
"109","canopy",5,1,2024-07-25,32.89,25.89,29.8777777777778
"110","canopy",5,1,2024-07-26,31.25,25.75,27.7725
"111","canopy",5,1,2024-07-27,27.18,24.02,25.6342361111111
"112","canopy",5,1,2024-07-28,28.72,23.3,25.5480555555556
"113","canopy",5,1,2024-07-29,25.87,23.1,24.8368055555556
"114","canopy",5,1,2024-07-30,29.77,24.17,26.1020833333333
"115","canopy",5,1,2024-07-31,30.03,23.77,26.0613888888889
"116","canopy",5,1,2024-08-01,30.17,23.21,25.7372222222222
"117","canopy",5,1,2024-08-02,29.66,23.13,24.2211428571429
"118","canopy",5,2,2024-08-03,28.14,23.86,26.4901041666667
"119","canopy",5,2,2024-08-04,28.48,24.35,26.2127777777778
"120","canopy",5,2,2024-08-05,29.25,23.85,26.1765277777778
"121","canopy",5,2,2024-08-06,29.74,23.02,25.9784722222222
"122","canopy",5,2,2024-08-07,30.6,24.23,26.9873611111111
"123","canopy",5,2,2024-08-08,30.34,25.08,27.2626388888889
"124","canopy",5,2,2024-08-09,29.78,24.29,26.7890972222222
"125","canopy",5,2,2024-08-10,28.42,24.49,26.4677777777778
"126","canopy",5,2,2024-08-11,29.72,24.68,26.6149305555556
"127","canopy",5,3,2024-08-12,28.48,24.96,26.5756944444444
"128","canopy",5,3,2024-08-13,31.11,25.42,27.630625
"129","canopy",5,3,2024-08-14,30.77,25.95,28.165
"130","canopy",5,3,2024-08-15,29.56,26.36,27.7593055555556
"131","canopy",5,3,2024-08-16,32.56,25.64,28.0404166666667
"132","canopy",5,3,2024-08-17,31.61,26.26,28.4419444444444
"133","canopy",5,3,2024-08-18,28.38,25.33,26.8547222222222
"134","canopy",5,3,2024-08-19,29.25,24.77,26.7079166666667
"135","canopy",5,3,2024-08-20,30.08,25.14,26.8495348837209
"136","canopy",6,1,2024-07-25,32.71,26.06,29.8605555555556
"137","canopy",6,1,2024-07-26,31.25,25.7,27.7964583333333
"138","canopy",6,1,2024-07-27,26.8,24.17,25.5469444444444
"139","canopy",6,1,2024-07-28,28.63,23.28,25.426875
"140","canopy",6,1,2024-07-29,25.88,23.07,24.7763888888889
"141","canopy",6,1,2024-07-30,29.68,24.1,25.965
"142","canopy",6,1,2024-07-31,29.74,23.71,25.8747916666667
"143","canopy",6,1,2024-08-01,29.93,23.13,25.5452777777778
"144","canopy",6,1,2024-08-02,28.95,23.07,24.1307142857143
"145","canopy",6,2,2024-08-03,28.08,23.58,26.3502083333333
"146","canopy",6,2,2024-08-04,28.5,24.17,26.0954861111111
"147","canopy",6,2,2024-08-05,29.46,23.65,26.126875
"148","canopy",6,2,2024-08-06,29.67,22.79,25.8019444444444
"149","canopy",6,2,2024-08-07,30.57,23.96,26.7768055555556
"150","canopy",6,2,2024-08-08,30.35,24.86,27.1227777777778
"151","canopy",6,2,2024-08-09,30.04,24.05,26.6717361111111
"152","canopy",6,2,2024-08-10,28.54,24.43,26.4375
"153","canopy",6,2,2024-08-11,29.19,24.58,26.4453472222222
"154","canopy",6,3,2024-08-12,28.4,24.82,26.4018055555556
"155","canopy",6,3,2024-08-13,31.26,25.39,27.5589583333333
"156","canopy",6,3,2024-08-14,30.77,25.67,27.9381944444444
"157","canopy",6,3,2024-08-15,29.82,26.23,27.7666666666667
"158","canopy",6,3,2024-08-16,33.42,25.62,28.1559722222222
"159","canopy",6,3,2024-08-17,31.84,26.2,28.4363194444444
"160","canopy",6,3,2024-08-18,28.36,25.2,26.7495138888889
"161","canopy",6,3,2024-08-19,29.49,24.65,26.709375
"162","canopy",6,3,2024-08-20,30.35,24.98,26.8485384615385
"163","understory",7,1,2024-07-25,32.54,25.87,29.2207777777778
"164","understory",7,1,2024-07-26,29.49,24.84,26.8399305555556
"165","understory",7,1,2024-07-27,26.47,23.97,25.1718055555556
"166","understory",7,1,2024-07-28,27.72,23.27,25.1359027777778
"167","understory",7,1,2024-07-29,25.67,23.24,24.7476388888889
"168","understory",7,1,2024-07-30,27.31,24.21,25.4276388888889
"169","understory",7,1,2024-07-31,27.48,23.83,25.4217361111111
"170","understory",7,1,2024-08-01,27.23,23.41,24.9972222222222
"171","understory",7,1,2024-08-02,29.46,23.1,26.155625
"172","understory",7,2,2024-08-03,27.07,23.81,25.4093571428571
"173","understory",7,2,2024-08-04,27.45,24.19,25.7094444444444
"174","understory",7,2,2024-08-05,28.36,23.69,25.6345138888889
"175","understory",7,2,2024-08-06,28.18,22.71,25.3220138888889
"176","understory",7,2,2024-08-07,29.23,23.78,26.2527083333333
"177","understory",7,2,2024-08-08,28.64,24.74,26.5507638888889
"178","understory",7,2,2024-08-09,28.71,23.89,26.2617361111111
