#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1250,08/12/2024 00:00:00,26.520,,,,
1251,08/12/2024 00:10:00,26.477,,,,
1252,08/12/2024 00:20:00,26.456,,,,
1253,08/12/2024 00:30:00,26.413,,,,
1254,08/12/2024 00:40:00,26.381,,,,
1255,08/12/2024 00:50:00,26.381,,,,
1256,08/12/2024 01:00:00,26.338,,,,
1257,08/12/2024 01:10:00,26.317,,,,
1258,08/12/2024 01:20:00,26.306,,,,
1259,08/12/2024 01:30:00,26.284,,,,
1260,08/12/2024 01:40:00,26.263,,,,
1261,08/12/2024 01:50:00,26.220,,,,
1262,08/12/2024 02:00:00,26.145,,,,
1263,08/12/2024 02:10:00,26.091,,,,
1264,08/12/2024 02:20:00,26.038,,,,
1265,08/12/2024 02:30:00,26.006,,,,
1266,08/12/2024 02:40:00,25.941,,,,
1267,08/12/2024 02:50:00,25.888,,,,
1268,08/12/2024 03:00:00,25.823,,,,
1269,08/12/2024 03:10:00,25.770,,,,
1270,08/12/2024 03:20:00,25.748,,,,
1271,08/12/2024 03:30:00,25.705,,,,
1272,08/12/2024 03:40:00,25.695,,,,
1273,08/12/2024 03:50:00,25.673,,,,
1274,08/12/2024 04:00:00,25.652,,,,
1275,08/12/2024 04:10:00,25.609,,,,
1276,08/12/2024 04:20:00,25.587,,,,
1277,08/12/2024 04:30:00,25.555,,,,
1278,08/12/2024 04:40:00,25.534,,,,
1279,08/12/2024 04:50:00,25.491,,,,
1280,08/12/2024 05:00:00,25.491,,,,
1281,08/12/2024 05:10:00,25.459,,,,
1282,08/12/2024 05:20:00,25.459,,,,
1283,08/12/2024 05:30:00,25.426,,,,
1284,08/12/2024 05:40:00,25.384,,,,
1285,08/12/2024 05:50:00,25.341,,,,
1286,08/12/2024 06:00:00,25.330,,,,
1287,08/12/2024 06:10:00,25.276,,,,
1288,08/12/2024 06:20:00,25.276,,,,
1289,08/12/2024 06:30:00,25.223,,,,
