#,Date-Time (HST),Temperature   (°C),Started,Host Connected,End of File,datetime,date,time
6013,02/17/2025 00:00:00,20.375,NA,NA,NA,2025-02-17T00:00:00Z,2025-02-17,00:00:00
6014,02/17/2025 00:10:00,20.375,NA,NA,NA,2025-02-17T00:10:00Z,2025-02-17,00:10:00
6015,02/17/2025 00:20:00,20.375,NA,NA,NA,2025-02-17T00:20:00Z,2025-02-17,00:20:00
6016,02/17/2025 00:30:00,20.375,NA,NA,NA,2025-02-17T00:30:00Z,2025-02-17,00:30:00
6017,02/17/2025 00:40:00,20.375,NA,NA,NA,2025-02-17T00:40:00Z,2025-02-17,00:40:00
6018,02/17/2025 00:50:00,20.375,NA,NA,NA,2025-02-17T00:50:00Z,2025-02-17,00:50:00
6019,02/17/2025 01:00:00,20.386,NA,NA,NA,2025-02-17T01:00:00Z,2025-02-17,01:00:00
6020,02/17/2025 01:10:00,20.407,NA,NA,NA,2025-02-17T01:10:00Z,2025-02-17,01:10:00
6021,02/17/2025 01:20:00,20.396,NA,NA,NA,2025-02-17T01:20:00Z,2025-02-17,01:20:00
6022,02/17/2025 01:30:00,20.418,NA,NA,NA,2025-02-17T01:30:00Z,2025-02-17,01:30:00
6023,02/17/2025 01:40:00,20.396,NA,NA,NA,2025-02-17T01:40:00Z,2025-02-17,01:40:00
6024,02/17/2025 01:50:00,20.396,NA,NA,NA,2025-02-17T01:50:00Z,2025-02-17,01:50:00
6025,02/17/2025 02:00:00,20.407,NA,NA,NA,2025-02-17T02:00:00Z,2025-02-17,02:00:00
6026,02/17/2025 02:10:00,20.407,NA,NA,NA,2025-02-17T02:10:00Z,2025-02-17,02:10:00
6027,02/17/2025 02:20:00,20.429,NA,NA,NA,2025-02-17T02:20:00Z,2025-02-17,02:20:00
6028,02/17/2025 02:30:00,20.429,NA,NA,NA,2025-02-17T02:30:00Z,2025-02-17,02:30:00
6029,02/17/2025 02:40:00,20.418,NA,NA,NA,2025-02-17T02:40:00Z,2025-02-17,02:40:00
6030,02/17/2025 02:50:00,20.439,NA,NA,NA,2025-02-17T02:50:00Z,2025-02-17,02:50:00
6031,02/17/2025 03:00:00,20.429,NA,NA,NA,2025-02-17T03:00:00Z,2025-02-17,03:00:00
6032,02/17/2025 03:10:00,20.439,NA,NA,NA,2025-02-17T03:10:00Z,2025-02-17,03:10:00
6033,02/17/2025 03:20:00,20.429,NA,NA,NA,2025-02-17T03:20:00Z,2025-02-17,03:20:00
6034,02/17/2025 03:30:00,20.429,NA,NA,NA,2025-02-17T03:30:00Z,2025-02-17,03:30:00
6035,02/17/2025 03:40:00,20.439,NA,NA,NA,2025-02-17T03:40:00Z,2025-02-17,03:40:00
6036,02/17/2025 03:50:00,20.439,NA,NA,NA,2025-02-17T03:50:00Z,2025-02-17,03:50:00
6037,02/17/2025 04:00:00,20.439,NA,NA,NA,2025-02-17T04:00:00Z,2025-02-17,04:00:00
6038,02/17/2025 04:10:00,20.429,NA,NA,NA,2025-02-17T04:10:00Z,2025-02-17,04:10:00
6039,02/17/2025 04:20:00,20.429,NA,NA,NA,2025-02-17T04:20:00Z,2025-02-17,04:20:00
6040,02/17/2025 04:30:00,20.471,NA,NA,NA,2025-02-17T04:30:00Z,2025-02-17,04:30:00
6041,02/17/2025 04:40:00,20.461,NA,NA,NA,2025-02-17T04:40:00Z,2025-02-17,04:40:00
6042,02/17/2025 04:50:00,20.439,NA,NA,NA,2025-02-17T04:50:00Z,2025-02-17,04:50:00
6043,02/17/2025 05:00:00,20.471,NA,NA,NA,2025-02-17T05:00:00Z,2025-02-17,05:00:00
6044,02/17/2025 05:10:00,20.471,NA,NA,NA,2025-02-17T05:10:00Z,2025-02-17,05:10:00
6045,02/17/2025 05:20:00,20.439,NA,NA,NA,2025-02-17T05:20:00Z,2025-02-17,05:20:00
6046,02/17/2025 05:30:00,20.482,NA,NA,NA,2025-02-17T05:30:00Z,2025-02-17,05:30:00
6047,02/17/2025 05:40:00,20.439,NA,NA,NA,2025-02-17T05:40:00Z,2025-02-17,05:40:00
6048,02/17/2025 05:50:00,20.471,NA,NA,NA,2025-02-17T05:50:00Z,2025-02-17,05:50:00
6049,02/17/2025 06:00:00,20.461,NA,NA,NA,2025-02-17T06:00:00Z,2025-02-17,06:00:00
6050,02/17/2025 06:10:00,20.471,NA,NA,NA,2025-02-17T06:10:00Z,2025-02-17,06:10:00
6051,02/17/2025 06:20:00,20.45,NA,NA,NA,2025-02-17T06:20:00Z,2025-02-17,06:20:00
6052,02/17/2025 06:30:00,20.504,NA,NA,NA,2025-02-17T06:30:00Z,2025-02-17,06:30:00
6053,02/17/2025 06:40:00,20.471,NA,NA,NA,2025-02-17T06:40:00Z,2025-02-17,06:40:00
6054,02/17/2025 06:50:00,20.461,NA,NA,NA,2025-02-17T06:50:00Z,2025-02-17,06:50:00
