#,Date-Time (HST),Temperature   (°C),Started,Host Connected,End of File,datetime,date,time
10045,03/17/2025 00:00:00,19.817,NA,NA,NA,2025-03-17T00:00:00Z,2025-03-17,00:00:00
10046,03/17/2025 00:10:00,19.774,NA,NA,NA,2025-03-17T00:10:00Z,2025-03-17,00:10:00
10047,03/17/2025 00:20:00,19.764,NA,NA,NA,2025-03-17T00:20:00Z,2025-03-17,00:20:00
10048,03/17/2025 00:30:00,19.742,NA,NA,NA,2025-03-17T00:30:00Z,2025-03-17,00:30:00
10049,03/17/2025 00:40:00,19.742,NA,NA,NA,2025-03-17T00:40:00Z,2025-03-17,00:40:00
10050,03/17/2025 00:50:00,19.742,NA,NA,NA,2025-03-17T00:50:00Z,2025-03-17,00:50:00
10051,03/17/2025 01:00:00,19.689,NA,NA,NA,2025-03-17T01:00:00Z,2025-03-17,01:00:00
10052,03/17/2025 01:10:00,19.689,NA,NA,NA,2025-03-17T01:10:00Z,2025-03-17,01:10:00
10053,03/17/2025 01:20:00,19.678,NA,NA,NA,2025-03-17T01:20:00Z,2025-03-17,01:20:00
10054,03/17/2025 01:30:00,19.667,NA,NA,NA,2025-03-17T01:30:00Z,2025-03-17,01:30:00
10055,03/17/2025 01:40:00,19.656,NA,NA,NA,2025-03-17T01:40:00Z,2025-03-17,01:40:00
10056,03/17/2025 01:50:00,19.646,NA,NA,NA,2025-03-17T01:50:00Z,2025-03-17,01:50:00
10057,03/17/2025 02:00:00,19.613,NA,NA,NA,2025-03-17T02:00:00Z,2025-03-17,02:00:00
10058,03/17/2025 02:10:00,19.603,NA,NA,NA,2025-03-17T02:10:00Z,2025-03-17,02:10:00
10059,03/17/2025 02:20:00,19.613,NA,NA,NA,2025-03-17T02:20:00Z,2025-03-17,02:20:00
10060,03/17/2025 02:30:00,19.581,NA,NA,NA,2025-03-17T02:30:00Z,2025-03-17,02:30:00
10061,03/17/2025 02:40:00,19.571,NA,NA,NA,2025-03-17T02:40:00Z,2025-03-17,02:40:00
10062,03/17/2025 02:50:00,19.571,NA,NA,NA,2025-03-17T02:50:00Z,2025-03-17,02:50:00
10063,03/17/2025 03:00:00,19.549,NA,NA,NA,2025-03-17T03:00:00Z,2025-03-17,03:00:00
10064,03/17/2025 03:10:00,19.538,NA,NA,NA,2025-03-17T03:10:00Z,2025-03-17,03:10:00
10065,03/17/2025 03:20:00,19.528,NA,NA,NA,2025-03-17T03:20:00Z,2025-03-17,03:20:00
10066,03/17/2025 03:30:00,19.517,NA,NA,NA,2025-03-17T03:30:00Z,2025-03-17,03:30:00
10067,03/17/2025 03:40:00,19.495,NA,NA,NA,2025-03-17T03:40:00Z,2025-03-17,03:40:00
10068,03/17/2025 03:50:00,19.485,NA,NA,NA,2025-03-17T03:50:00Z,2025-03-17,03:50:00
10069,03/17/2025 04:00:00,19.495,NA,NA,NA,2025-03-17T04:00:00Z,2025-03-17,04:00:00
10070,03/17/2025 04:10:00,19.495,NA,NA,NA,2025-03-17T04:10:00Z,2025-03-17,04:10:00
10071,03/17/2025 04:20:00,19.474,NA,NA,NA,2025-03-17T04:20:00Z,2025-03-17,04:20:00
10072,03/17/2025 04:30:00,19.485,NA,NA,NA,2025-03-17T04:30:00Z,2025-03-17,04:30:00
10073,03/17/2025 04:40:00,19.463,NA,NA,NA,2025-03-17T04:40:00Z,2025-03-17,04:40:00
10074,03/17/2025 04:50:00,19.442,NA,NA,NA,2025-03-17T04:50:00Z,2025-03-17,04:50:00
10075,03/17/2025 05:00:00,19.442,NA,NA,NA,2025-03-17T05:00:00Z,2025-03-17,05:00:00
10076,03/17/2025 05:10:00,19.42,NA,NA,NA,2025-03-17T05:10:00Z,2025-03-17,05:10:00
10077,03/17/2025 05:20:00,19.431,NA,NA,NA,2025-03-17T05:20:00Z,2025-03-17,05:20:00
10078,03/17/2025 05:30:00,19.41,NA,NA,NA,2025-03-17T05:30:00Z,2025-03-17,05:30:00
10079,03/17/2025 05:40:00,19.388,NA,NA,NA,2025-03-17T05:40:00Z,2025-03-17,05:40:00
10080,03/17/2025 05:50:00,19.367,NA,NA,NA,2025-03-17T05:50:00Z,2025-03-17,05:50:00
10081,03/17/2025 06:00:00,19.377,NA,NA,NA,2025-03-17T06:00:00Z,2025-03-17,06:00:00
10082,03/17/2025 06:10:00,19.367,NA,NA,NA,2025-03-17T06:10:00Z,2025-03-17,06:10:00
10083,03/17/2025 06:20:00,19.335,NA,NA,NA,2025-03-17T06:20:00Z,2025-03-17,06:20:00
10084,03/17/2025 06:30:00,20.042,NA,NA,NA,2025-03-17T06:30:00Z,2025-03-17,06:30:00
10085,03/17/2025 06:40:00,21.544,NA,NA,NA,2025-03-17T06:40:00Z,2025-03-17,06:40:00
10086,03/17/2025 06:50:00,21.426,NA,NA,NA,2025-03-17T06:50:00Z,2025-03-17,06:50:00
10087,03/17/2025 07:00:00,21.329,NA,NA,NA,2025-03-17T07:00:00Z,2025-03-17,07:00:00
10088,03/17/2025 07:10:00,22.016,NA,NA,NA,2025-03-17T07:10:00Z,2025-03-17,07:10:00
10089,03/17/2025 07:20:00,21.962,NA,NA,NA,2025-03-17T07:20:00Z,2025-03-17,07:20:00
10090,03/17/2025 07:30:00,21.855,NA,NA,NA,2025-03-17T07:30:00Z,2025-03-17,07:30:00
10091,03/17/2025 07:40:00,21.769,NA,NA,NA,2025-03-17T07:40:00Z,2025-03-17,07:40:00
10092,03/17/2025 07:50:00,21.694,NA,NA,NA,2025-03-17T07:50:00Z,2025-03-17,07:50:00
10093,03/17/2025 08:00:00,21.576,NA,NA,NA,2025-03-17T08:00:00Z,2025-03-17,08:00:00
10094,03/17/2025 08:10:00,21.49,NA,NA,NA,2025-03-17T08:10:00Z,2025-03-17,08:10:00
10095,03/17/2025 08:20:00,21.458,NA,NA,NA,2025-03-17T08:20:00Z,2025-03-17,08:20:00
10096,03/17/2025 08:30:00,22.198,NA,NA,NA,2025-03-17T08:30:00Z,2025-03-17,08:30:00
10097,03/17/2025 08:40:00,22.102,NA,NA,NA,2025-03-17T08:40:00Z,2025-03-17,08:40:00
10098,03/17/2025 08:50:00,21.994,NA,NA,NA,2025-03-17T08:50:00Z,2025-03-17,08:50:00
10099,03/17/2025 09:00:00,21.93,NA,NA,NA,2025-03-17T09:00:00Z,2025-03-17,09:00:00
