date_time_raw,temp_raw,datetime,date,time,temp
03/06/2025 00:00:00,21.662,2025-03-06T00:00:00Z,2025-03-06,00:00:00,21.662
03/06/2025 00:10:00,21.662,2025-03-06T00:10:00Z,2025-03-06,00:10:00,21.662
03/06/2025 00:20:00,21.662,2025-03-06T00:20:00Z,2025-03-06,00:20:00,21.662
03/06/2025 00:30:00,21.619,2025-03-06T00:30:00Z,2025-03-06,00:30:00,21.619
03/06/2025 00:40:00,21.598,2025-03-06T00:40:00Z,2025-03-06,00:40:00,21.598
03/06/2025 00:50:00,21.565,2025-03-06T00:50:00Z,2025-03-06,00:50:00,21.565
03/06/2025 01:00:00,21.565,2025-03-06T01:00:00Z,2025-03-06,01:00:00,21.565
03/06/2025 01:10:00,21.555,2025-03-06T01:10:00Z,2025-03-06,01:10:00,21.555
03/06/2025 01:20:00,21.522,2025-03-06T01:20:00Z,2025-03-06,01:20:00,21.522
03/06/2025 01:30:00,21.490,2025-03-06T01:30:00Z,2025-03-06,01:30:00,21.49
03/06/2025 01:40:00,21.480,2025-03-06T01:40:00Z,2025-03-06,01:40:00,21.48
03/06/2025 01:50:00,21.469,2025-03-06T01:50:00Z,2025-03-06,01:50:00,21.469
03/06/2025 02:00:00,21.426,2025-03-06T02:00:00Z,2025-03-06,02:00:00,21.426
03/06/2025 02:10:00,21.394,2025-03-06T02:10:00Z,2025-03-06,02:10:00,21.394
03/06/2025 02:20:00,21.362,2025-03-06T02:20:00Z,2025-03-06,02:20:00,21.362
03/06/2025 02:30:00,21.340,2025-03-06T02:30:00Z,2025-03-06,02:30:00,21.34
03/06/2025 02:40:00,21.297,2025-03-06T02:40:00Z,2025-03-06,02:40:00,21.297
03/06/2025 02:50:00,21.297,2025-03-06T02:50:00Z,2025-03-06,02:50:00,21.297
03/06/2025 03:00:00,21.265,2025-03-06T03:00:00Z,2025-03-06,03:00:00,21.265
03/06/2025 03:10:00,21.244,2025-03-06T03:10:00Z,2025-03-06,03:10:00,21.244
03/06/2025 03:20:00,21.233,2025-03-06T03:20:00Z,2025-03-06,03:20:00,21.233
03/06/2025 03:30:00,21.211,2025-03-06T03:30:00Z,2025-03-06,03:30:00,21.211
03/06/2025 03:40:00,21.169,2025-03-06T03:40:00Z,2025-03-06,03:40:00,21.169
03/06/2025 03:50:00,21.147,2025-03-06T03:50:00Z,2025-03-06,03:50:00,21.147
03/06/2025 04:00:00,21.126,2025-03-06T04:00:00Z,2025-03-06,04:00:00,21.126
03/06/2025 04:10:00,21.115,2025-03-06T04:10:00Z,2025-03-06,04:10:00,21.115
03/06/2025 04:20:00,21.083,2025-03-06T04:20:00Z,2025-03-06,04:20:00,21.083
03/06/2025 04:30:00,21.061,2025-03-06T04:30:00Z,2025-03-06,04:30:00,21.061
03/06/2025 04:40:00,21.051,2025-03-06T04:40:00Z,2025-03-06,04:40:00,21.051
03/06/2025 04:50:00,21.018,2025-03-06T04:50:00Z,2025-03-06,04:50:00,21.018
03/06/2025 05:00:00,20.997,2025-03-06T05:00:00Z,2025-03-06,05:00:00,20.997
03/06/2025 05:10:00,20.954,2025-03-06T05:10:00Z,2025-03-06,05:10:00,20.954
03/06/2025 05:20:00,20.943,2025-03-06T05:20:00Z,2025-03-06,05:20:00,20.943
03/06/2025 05:30:00,20.943,2025-03-06T05:30:00Z,2025-03-06,05:30:00,20.943
